matchid,team_home,team_home_id,score_home,team_away,team_away_id,score_away,mu_coach_player_all_t1,mu_coach_player_all_t2,mu_coach_player_suc_t1,mu_coach_player_suc_t2,mu_rel_all_t1,mu_rel_all_t2,mu_rel_suc_t1,mu_rel_suc_t2,seasonyear,mean_goals_t1_bin_5,mean_assists_t1_bin_5,mean_goals_t2_bin_5,mean_assists_t2_bin_5,mean_goals_t1_bin_3,mean_assists_t1_bin_3,mean_goals_t2_bin_3,mean_assists_t2_bin_3,mean_goals_t1_bin_1,mean_assists_t1_bin_1,mean_goals_t2_bin_1,mean_assists_t2_bin_1
2223862,as-saint-etienne,618,4,as-nancy-lorraine,1159,0,22.222221,18.111111,8.1111107,5.5555553,7.986928,15.196078,3.2091503,5.1633987,2012,.66262436,.41356486,.6123178,.3642205,.65383893,.44075778,.63969058,.39462081,.72129631,.61441797,.9537037,.52777779
2223863,sc-bastia,595,3,es-troyes-ac,1095,2,0,5.2777777,0,1.3888888,.125,.12418301,.029411765,.045751635,2012,.69813168,.48232886,.81821936,.47077611,.77328819,.50654763,.82134241,.52441645,1.0364584,.78645831,.88039213,.5598039
2223864,fc-lorient,1158,1,olympique-lyon,1041,1,50.944443,18.944445,15,9.4444447,13.843137,14.189543,3.7124183,7.0392156,2012,.58866978,.38557947,.80300456,.46149993,.6084215,.44010943,.75981629,.41628087,1.2027777,.94444442,.85005409,.40925926
2223865,ogc-nizza,417,2,sc-bastia,595,2,3.2777777,0,1.6111112,0,6.2091503,.125,1.7320261,.029411765,2012,.50129563,.41121623,.6624127,.45395657,.46946067,.42738065,.72780061,.4767507,.46944445,.38148147,.97549021,.74019605
2223866,fc-stade-rennes,273,2,osc-lille,1082,0,40.055557,43.555557,16.555555,23.5,15.464052,19.673203,6.5359478,10.784314,2012,.71706617,.51436025,.67217427,.4625001,.68432224,.57705629,.73135841,.51679891,.69575161,.60392159,.76693124,.48518518
2223867,olympique-lyon,1041,0,fc-girondins-bordeaux,40,2,18.666666,29.944445,9.5,12.833333,16.411764,34.823528,8.2222223,16.48366,2012,.80763423,.4687463,.67718148,.55358171,.75981629,.41628087,.60584784,.59151733,.85005409,.40925926,1.1527778,.78703701
2223868,as-nancy-lorraine,1159,0,hsc-montpellier,969,2,20.666666,70.722221,6.5,35.555557,17.156862,42.549019,5.7843137,21.61438,2012,.63083637,.41580781,.92528236,.45782033,.69921434,.47134039,.89985955,.49579126,.98148149,.52777779,1.1333333,.64351851
2223869,fc-paris-saint-germain,583,2,fc-sochaux-montbeliard,750,0,11.166667,5.5555553,6.5,3.2222223,12.673203,10.633986,7.026144,3.5751634,2012,1.2885222,.82933378,.48420426,.37535349,1.2552072,.84061372,.49510837,.40553814,1.3696078,.80882353,.55014008,.33333334
2223870,as-saint-etienne,618,0,stade-reims,1421,0,23.555555,0,8.7777777,0,7.8039217,.52287585,3.1764705,.1503268,2012,.66225886,.39296299,.56295818,.20615666,.66927105,.43458495,.55031866,.14797178,.7490741,.64219576,1.5588236,.52941179
2223871,es-troyes-ac,1095,0,fc-toulouse,415,2,4.3333335,59.222221,1.1111112,22.944445,.084967323,26.882353,.019607844,10.712419,2012,.80186325,.48796743,.49492922,.46104831,.82663816,.57067901,.59553474,.53908527,.90185183,.64444447,.7962963,.7037037
2223872,fc-evian-thonon-gaillard,14171,1,fc-lorient,1158,1,0,45.833332,0,13.277778,10.640523,11.607843,3.9084966,2.9346404,2012,.84297198,.60976779,.53553081,.31630802,.90485519,.68967855,.50965607,.31147185,.99722224,.77314812,.66759259,.31481481
2223873,fc-toulouse,415,2,fc-valenciennes,1423,2,58.222221,22.833334,22.555555,7.1666665,25.562092,37.836601,10.052288,11.862745,2012,.49889746,.46104831,.5452472,.41017687,.60247916,.53908527,.60802191,.47993827,.7962963,.7037037,.65833336,.58333331
2223874,stade-reims,1421,3,ogc-nizza,417,1,0,2.0555556,0,1,.41830066,6.346405,.13071896,1.7385621,2012,.61895466,.25476778,.47196007,.35305247,.6693663,.25908288,.46346253,.38529378,1.5588236,.43137255,.46764705,.30588236
2223875,stade-brest-29,3911,1,fc-girondins-bordeaux,40,1,0,30.625,0,13.3125,8.2091503,29.266666,2.0457516,13.383333,2012,.76896125,.39210165,.7580992,.6333645,.8252809,.44237214,.71146184,.71635282,.54814816,.32962963,1.3944445,.97777778
2223876,as-nancy-lorraine,1159,0,olympique-marseille,244,1,18.666666,1.8333334,5.8888888,.3888889,13.065359,13,4.352941,5.1633987,2012,.62382668,.43659061,.55960649,.31143525,.68686867,.49253035,.57971734,.33579004,1.0098039,.55882353,.68139881,.38749999
2223877,fc-toulouse,415,1,stade-reims,1421,1,60.611111,0,23.388889,0,28.464052,.27450982,11.281046,.098039217,2012,.44512078,.4425298,.68244672,.36587888,.546152,.52427047,.74344033,.39241624,.7962963,.7037037,1.6764706,.84313726
2223878,sc-bastia,595,0,as-saint-etienne,618,3,.27777779,23.611111,.055555556,8.7222223,.11111111,9.4640522,.026143791,3.6928105,2012,.65554994,.45395657,.73482436,.55569446,.72990149,.4767507,.75912994,.6178962,.98039216,.74019605,.85092592,.71626985
2223879,stade-brest-29,3911,2,es-troyes-ac,1095,1,0,4.3333335,0,1.1111112,6.0784316,.37908497,1.6535947,.09150327,2012,.62222016,.30279559,.81677425,.43533584,.56798571,.28604698,.84978634,.53734571,.42777777,.23240741,.93518519,.55555558
2223880,as-saint-etienne,618,0,fc-sochaux-montbeliard,750,1,27.611111,4.8333335,9.9444447,2.9444444,11.470589,5.4248366,4.2483659,2.0457516,2012,.69528186,.54041672,.49134713,.37482437,.69431514,.59706289,.49213219,.40355402,.7490741,.69775134,.52072829,.31862745
2223881,ogc-nizza,417,4,stade-brest-29,3911,2,1.2222222,0,.6111111,0,6.1176472,5.5620914,1.6732026,1.4444444,2012,.4945845,.39015654,.65206909,.27715456,.45429525,.39904475,.64488506,.2684103,.4852941,.39215687,.39074075,.2175926
2223882,fc-evian-thonon-gaillard,14171,3,sc-bastia,595,0,0,.27777779,0,.055555556,6.8104577,.11111111,2.2091503,.026143791,2012,.8062256,.65151316,.67025584,.45395657,.84155148,.70107222,.74460733,.4767507,.80277777,.56944442,.99509805,.74019605
2223883,es-troyes-ac,1095,1,osc-lille,1082,1,4.3333335,50.444443,1.1111112,27.611111,.38562092,21.712418,.098039217,12.215686,2012,.81325924,.48201504,.67126924,.60460538,.81737894,.55480599,.75257975,.68337065,.85462964,.63981479,.74285716,.59629631
2223884,fc-lorient,1158,3,as-nancy-lorraine,1159,0,56.888889,16.888889,16.777779,5.1111112,17.954248,11.418301,4.7843137,3.7973857,2012,.39988267,.27311629,.61167949,.38433206,.44440034,.37428051,.68118685,.46775794,.92685187,.9074074,1.0104166,.46875
2223885,olympique-marseille,244,3,fc-stade-rennes,273,1,1.8333334,37.277779,.3888889,15.666667,19.333334,15.555555,7.2156863,6.6274509,2012,.68858671,.44796786,.82561785,.55245131,.74565899,.52614826,.78732997,.60610873,.75308126,.52941179,.74969137,.60370368
2223886,fc-sochaux-montbeliard,750,1,hsc-montpellier,969,3,4.7222223,66.055557,2.6111112,33.722221,8.5882349,36.575165,2.9346404,19.228758,2012,.49515766,.31758532,.89905924,.45891017,.50505954,.33256635,.91021311,.55606061,.57464987,.29411766,1.2740741,.63425928
2223887,ac-ajaccio,1147,2,fc-evian-thonon-gaillard,14171,0,0,8.833333,0,3.8333333,10.490196,9.6013069,2.7058823,3.2483661,2012,.48924568,.31938586,.81893808,.6111567,.49015352,.34629631,.85557067,.69881755,.53529412,.4852941,.94722223,.79166669
2223888,fc-girondins-bordeaux,40,1,ogc-nizza,417,1,38.222221,3.2777777,16,1.6111112,31.084967,6.2091503,14.065359,1.7320261,2012,.67589211,.59476799,.50129563,.41121623,.64844042,.67720759,.46946067,.42738065,1.2546296,.9074074,.46944445,.38148147
2223889,olympique-lyon,1041,3,fc-valenciennes,1423,2,19.888889,23.666666,10,7.6111112,17.509804,36.294117,8.7712421,11.196078,2012,.6853559,.45448253,.57537991,.39430386,.61537188,.37218916,.66529983,.44521606,.73404884,.42407408,.62870371,.50925928
2223890,osc-lille,1082,1,fc-paris-saint-germain,583,2,43.833332,12.833333,23.722221,7.3888888,17.058823,19.640522,9.4967318,10.359477,2012,.76337767,.67194539,1.3474869,.92058289,.80881757,.70506376,1.3267274,.9793123,.73915344,.62685186,1.4410365,1.0245098
2223891,fc-stade-rennes,273,2,fc-valenciennes,1423,0,34.888889,17.666666,14.444445,5.3333335,12.771242,25.803921,5.4836602,7.8431373,2012,.81849092,.53802967,.55794466,.39418426,.79540396,.60646802,.63832575,.45413166,.75065362,.60784316,.48921567,.42156863
2223892,fc-toulouse,415,0,olympique-marseille,244,1,56,1.8333334,21.666666,.3888889,23.69281,17.444445,9.3398695,6.6666665,2012,.4041155,.41311803,.7496978,.55907893,.49198532,.48106059,.80815899,.63725936,.76851851,.67592591,.76679891,.53703701
2223893,stade-reims,1421,1,osc-lille,1082,1,0,37.666668,0,20.444445,.24836601,11.993464,.052287582,6.8496733,2012,.70282513,.35592356,.60113865,.59450066,.75005412,.42945325,.66196263,.62537307,1.6157408,.96296299,.51137567,.52685183
2223894,fc-paris-saint-germain,583,1,olympique-lyon,1041,0,10.333333,14.944445,5.9444447,7.3333335,14.09804,11.712419,7.4967322,5.7843137,2012,1.0855219,.89222759,.81412607,.44109085,1.0641212,.90119302,.74328142,.34342903,1.1572751,.9537037,.73535138,.36862746
2223895,fc-sochaux-montbeliard,750,1,stade-brest-29,3911,2,5.8888888,0,3.4444444,0,14.137255,7.7581701,4.4836602,1.9477124,2012,.45275831,.30354723,.79673904,.42173126,.49432999,.32031226,.83762658,.44854498,.52857143,.21078432,.57592595,.34351853
2223896,ogc-nizza,417,3,fc-evian-thonon-gaillard,14171,2,3.2777777,0,1.6111112,0,6.1568627,10.156863,1.751634,3.5228758,2012,.53078359,.4354054,.75263685,.51085007,.49707597,.45252067,.83671147,.58083814,.49705881,.40392157,.81203705,.5324074
2223897,hsc-montpellier,969,4,sc-bastia,595,0,47.222221,0,24.444445,0,19.535948,.35947713,10.588235,.10457516,2012,.97052431,.53554183,.72460574,.45885855,1.0087942,.64680135,.74492568,.45994398,1.4712963,.8287037,1.0729166,.765625
2223898,fc-lorient,1158,4,ac-ajaccio,1147,4,44.111111,0,12.888889,0,10.784314,10.673203,2.9738562,2.8300653,2012,.54181236,.3708736,.70186037,.4172394,.56459433,.43316498,.69232804,.46071428,1.075,.8888889,.77843136,.42647058
2223899,as-nancy-lorraine,1159,0,fc-paris-saint-germain,583,1,19.555555,8.7222223,6.1666665,4.9444447,15.019608,14.326797,5.1372547,7.5098038,2012,.6549949,.43612206,1.0697167,.77081782,.62910855,.44462082,1.026781,.7964716,.91666669,.41666666,1.0029411,.84313726
2223900,as-saint-etienne,618,2,fc-stade-rennes,273,0,23.166666,30.777779,8.7777777,13.055555,8.0196075,10.045752,3.1111112,4.352941,2012,.65995663,.47513893,.73834389,.53689235,.67976487,.54646766,.70625901,.60175866,.7953704,.66071427,.72881943,.64166665
2223901,fc-valenciennes,1423,6,fc-lorient,1158,1,23.888889,51.333332,7.6111112,15.111111,36.33987,13.058824,11.261438,3.8235295,2012,.56506562,.40221936,.70942599,.42850876,.63351715,.4913632,.73033512,.4987514,.6970588,.61764705,1.1805556,.93055558
2223902,fc-stade-rennes,273,2,hsc-montpellier,969,1,26.117647,56.722221,10.882353,29.055555,6.7647057,26.699347,2.9705882,14.09804,2012,.72788668,.53458995,.92650765,.51091832,.68760222,.60378069,.96268225,.58985692,.75074077,.68444443,1.3740741,.6712963
2223903,fc-paris-saint-germain,583,1,stade-reims,1421,0,11.888889,0,7,0,18.490196,.48366013,10.078431,.13725491,2012,1.2997751,.8964988,.61755174,.25049427,1.2651031,.9350912,.66515756,.25908288,1.4185185,1.0416666,1.337963,.35185185
