date,seasonyear,boxscoreid,visitor_name,visitor_id,visitor_pts,home_name,home_id,home_pts,mu_coach_player_all_t1,mu_coach_player_all_t2,mu_coach_player_suc_t1,mu_coach_player_suc_t2,mu_rel_all_t1,mu_rel_all_t2,mu_rel_suc_t1,mu_rel_suc_t2,mean_per_t1_bin_5,mean_bpm_t1_bin_5,mean_per_t2_bin_5,mean_bpm_t2_bin_5,mean_per_t1_bin_3,mean_bpm_t1_bin_3,mean_per_t2_bin_3,mean_bpm_t2_bin_3,mean_per_t1_bin_1,mean_bpm_t1_bin_1,mean_per_t2_bin_1,mean_bpm_t2_bin_1
"Fri, Mar 2, 2012",2012,201203020SAS,Charlotte_Bobcats,CHA,72,San_Antonio_Spurs,SAS,102,4.307692527770996,210.6666717529297,0,0,20.25641059875488,45.15151596069336,9.589743614196777,30.28787803649902,12.68777751922607,-2.250277757644653,15.69099998474121,.068000003695488,12.29722213745117,-2.712500095367432,15.28833293914795,.0366666652262211,12.22500038146973,-3.258333444595337,14.60000038146973,-.2199999988079071
"Mon, Jan 30, 2012",2012,201201300PHI,Orlando_Magic,ORL,69,Philadelphia_76ers,PHI,74,119.4000015258789,68.55555725097656,0,0,42.37777709960938,90.30555725097656,26.62222290039063,41.08333206176758,11.91849994659424,-2.016666650772095,14.34312534332275,-.6474999785423279,13.51500034332275,-.6449999809265137,14.16041660308838,-.8229166865348816,13.16666698455811,-.3777777850627899,15.16250038146973,.1749999970197678
"Tue, Feb 21, 2012",2012,201202210CLE,Detroit_Pistons,DET,100,Cleveland_Cavaliers,CLE,101,0,35.11111068725586,0,0,67.75555419921875,14.80555534362793,28.15555572509766,3.388888835906982,14.74629592895508,-.0931481495499611,13.32785701751709,-1.36642861366272,14.48518562316895,-.4111111164093018,13.42142868041992,-1.245238065719604,14.02499961853027,-1.087499976158142,13.2142858505249,-1.328571438789368
"Thu, Apr 26, 2012",2012,201204260TOR,New_Jersey_Nets,NJN,67,Toronto_Raptors,TOR,98,18.125,0,0,0,2.571428537368774,1.666666626930237,.8928571343421936,.380952388048172,11.17666625976563,-3.531111001968384,10.70285701751709,-3.378571510314941,10.80555534362793,-3.827777862548828,11.10000038146973,-3.002777814865112,10.47999954223633,-2.880000114440918,11.58333301544189,-2.549999952316284
"Tue, Mar 20, 2012",2012,201203200IND,Los_Angeles_Clippers,LAC,89,Indiana_Pacers,IND,102,27.16666603088379,0,0,0,10.1363639831543,26.24444389343262,3.863636255264282,11.95555591583252,15.44016647338867,-.1413333266973495,15.07900047302246,-.8723333477973938,15.27333354949951,-.0299999993294477,15.39166641235352,-.7183333039283752,14.93000030517578,.25,15.42000007629395,-.8899999856948853
"Sun, Mar 25, 2012",2012,201203250ATL,Utah_Jazz,UTA,133,Atlanta_Hawks,ATL,139,0,56.55555725097656,0,0,17.71111106872559,93.08333587646484,8.733333587646484,46.22222137451172,14.02916622161865,-1.282916665077209,13.19250011444092,-1.139999985694885,13.83333301544189,-1.522916674613953,13.07916641235352,-1.037500023841858,14.95714282989502,-1.585714340209961,13.07499980926514,-1.274999976158142
"Tue, Mar 13, 2012",2012,201203130OKC,Houston_Rockets,HOU,104,Oklahoma_City_Thunder,OKC,103,0,105.6999969482422,0,0,14.85714244842529,64.59999847412109,8.392857551574707,39.42222213745117,13.98119068145752,-1.196190476417542,14.62018489837646,-.3562963008880615,13.96666622161865,-1.314285755157471,14.78703689575195,-.1629629582166672,13.75714302062988,-1.785714268684387,15.39999961853027,.2555555701255798
"Thu, Jan 5, 2012",2012,201201050ATL,Miami_Heat,MIA,116,Atlanta_Hawks,ATL,109,101.4000015258789,47.33333206176758,0,0,31.44444465637207,70.34848785400391,20.28888893127441,35.90909194946289,10.15166664123535,-2.825208425521851,13.57545471191406,-.9700000286102295,10.02083301544189,-2.895833253860474,13.17575740814209,-1.160606026649475,9.387499809265137,-2.987499952316284,14.05000019073486,-.4600000083446503
"Wed, Jan 25, 2012",2012,201201250OKC,New_Orleans_Hornets,NOH,91,Oklahoma_City_Thunder,OKC,101,29.90909004211426,110.363639831543,0,0,13.127272605896,67.58181762695313,6.800000190734863,40.69091033935547,11.83500003814697,-2.701333284378052,14.37816619873047,-.382666677236557,11.67166709899902,-2.631666660308838,14.5716667175293,-.1633333265781403,10.96000003814697,-3.019999980926514,15.15999984741211,.3700000047683716
"Sun, Apr 8, 2012",2012,201204080SAC,Houston_Rockets,HOU,104,Sacramento_Kings,SAC,87,0,0,0,0,15.84444427490234,11.19999980926514,8.666666984558105,3.436363697052002,15.14479160308838,.2458333373069763,8.858333587646484,-2.410833358764648,15.03958320617676,.020833333954215,8.670833587646484,-2.470833301544189,15.0625,-.0375000014901161,8.287500381469727,-2.599999904632568
